動画ID,タイトル,1週間前再生数,現在再生数,増加数,投稿日,チャンネル
zQUm-EQniPc,可愛い理由／ハコニワリリィver. 【HoneyWorks】,97239,99620,2381,2025/08/08,MARUMOCHI from HoneyWorks
YEt1goX4Cpo,初恋日記 / 香椎モイミ【Covered by Kotoha】,650345,652722,2377,2022/10/10,Kotoha
iexkryXR0Qk,ハレンチ／ちゃんみな【Covered by Hanon】,295648,298010,2362,2022/08/13,Hanon
56sNnjlKke0,アンコール / YOASOBI【Covered by Kotoha】,860963,863320,2357,2021/04/05,Kotoha
hm8CdS6m0Ro,優しい彗星 / YOASOBI【Covered by Kotoha】,633753,636084,2331,2021/03/27,Kotoha
PbfH6sANvc0,夏祭り / Whiteberry【covered by Hanon× Kotoha】,338522,340841,2319,2024/07/28,Kotoha
TRhI2WxNri4,晴る／ヨルシカ【Covered by Hanon】,619145,621460,2315,2024/02/17,Hanon
9TxL2y1tZDs,secret base~君がくれたもの~ / ZONE【Covered by Kotoha】,788447,790751,2304,2021/08/31,Kotoha
nbV1J1fuSzI,君の一番になりたいの！ -Acoustic Live ver.-／ ハコニワリリィ,50284,52547,2263,2025/09/19,MARUMOCHI from HoneyWorks
Q4aUJMSeVqY,ずうっといっしょ！／キタニタツヤ【Covered by Hanon】,156884,159143,2259,2024/10/31,Hanon
e3Kk6wDq_gw,セプテンバーさん / RADWIMPS【Covered by Hanon×Kotoha】,1350303,1352561,2258,2020/09/16,Kotoha
DbNwGNSsTZ8,T氏の話を信じるな／ピノキオピー【Covered by Hanon × Kotoha】,45337,47577,2240,2025/09/28,Hanon
l4sZ67KjAdE,風になる / つじあやの【Covered by Kotoha】,871725,873947,2222,2020/09/20,Kotoha
ZtQPRzTqzq8,青と夏／Mrs. GREEN APPLE【Covered by Hanon】,1723013,1725215,2202,2019/08/26,Hanon
7NYgCS2cIdI,ブラック★ロックシューター／ryo（supercell）【Covered by Hanon】,520375,522569,2194,2022/09/19,Hanon
eN0_me2cCSI,アイドル / YOASOBI【Covered by Kotoha】,1276822,1279001,2179,2023/04/28,Kotoha
WStNZiVLZkc,ANIMA / ReoNa【Covered by Kotoha】,1190916,1193080,2164,2020/11/09,Kotoha
ShEat9Vmsio,恋愛偏差値上昇中！ ／P丸様。【Covered by Kotoha】,540710,542864,2154,2022/10/18,Kotoha
EH9XDJMLAlE,マサキじゃないけど好き／ハコニワリリィ【Music Video】,687019,689171,2152,2023/04/08,MARUMOCHI from HoneyWorks
_p1gr0d3yU0,タイムマシン / 優里【Covered by Kotoha】,615182,617284,2102,2022/08/15,Kotoha
IzSpvRx-A1k,ともに / WANIMA  【Covered by Hanon×Kotoha】,1090241,1092342,2101,2020/08/30,Kotoha
6x7eTm4lue4,PLAYERS／YOASOBI【Covered by Hanon × Kotoha】,137826,139925,2099,2025/05/12,Hanon
dfDP_AnaEbA,ムカつく-another story- feat. Hanon／HoneyWorks,34026,36102,2076,2025/11/23,Hanon
KEyuBx9a-ac,恋の矢印／可憐なアイボリー【ハコニワリリィver.】,139067,141135,2068,2025/02/14,MARUMOCHI from HoneyWorks
hwJhLT7uMEo,さよならメモリーズ / supercell 【Covered by Hanon×Kotoha】,779145,781209,2064,2021/03/31,Kotoha
KXsUzJWDf0U,Journey under stars ／Hanon -スターセイヴァーOST-,35050,37111,2061,2025/10/21,Hanon
1Mm2cUFs7RI,僕らのファイトソング／こはならむ【ハコニワリリィ cover】,116040,118088,2048,2025/04/25,MARUMOCHI from HoneyWorks
rk8_4lRmBGs,きゅうくらりん / いよわ【covered by Kotoha】,366001,368013,2012,2023/11/18,Kotoha
vt8ZzL22i-I,勿忘／Awesome City Club【Hanon × Tani Yuuki】,109359,111362,2003,2025/07/26,Hanon
zY-k1iUKDL8,推しの魔法／Hanon×Kotoha ver.【HoneyWorks】,279551,281551,2000,2024/05/04,MARUMOCHI from HoneyWorks
iJmQyNBcMIs,Oz. / yama【Covered by Kotoha】,659139,661138,1999,2021/11/10,Kotoha
ZhLD-aKF7qw,ドライフラワー／優里【Covered by Hanon】,1462864,1464863,1999,2021/02/07,Hanon
uzCVDvQ1_1E,デーモンロード / Kanaria【Covered by Kotoha】,388950,390939,1989,2023/08/01,Kotoha
7cGrVsCxsNE,妄想アスパルテーム / picco【Covered by Kotoha】,400078,402066,1988,2023/03/16,Kotoha
LWDW36gtAlA,怪獣／サカナクション【Covered by Hanon】,136588,138553,1965,2025/04/20,Hanon
TZC02UdbStM,群青 / YOASOBI【Covered by Kotoha】,646210,648168,1958,2022/03/29,Kotoha
